input_company_name,company_name,match_confidence_score,status,website_domain,main_country
COMMSCOPE SOLUTIONS SINGAPORE PTE. LTD.,HOMENET,87.09677419354838,Manual-Review,homenet.sg,Singapore
CommScope Technologies AG,Commscope Technologies Ag,100.0,Auto-Accepted,,Switzerland
COMMSCOPE TECHNOLOGIES LLC,CommScope,51.42857142857142,Manual-Review,,United States
COMVIVA TECHNOLOGIES LIMITED,Comviva Technologies,100.0,Auto-Accepted,comviva.com,India
CONSCIA DANMARK A/S,Conscia Danmark A/S.,100.0,Auto-Accepted,laugesen.io,Denmark
CONTROL RISKS GROUP LIMITED,Control risks,81.25,Manual-Review,controlrisks.com,United Kingdom
CORPORATE COMMUNICATIONS AS,Corporate Communications,100.0,Auto-Accepted,corporatecommunications.no,Norway
"COUPA SOFTWARE, INC.",COUPA EVISA APPLICATION,100.0,Auto-Accepted,kruto-app.us,United States
"COURSERA, INC.",Coursera,100.0,Auto-Accepted,malojabrd.top,United States
CRAYON A/S,Crayon A/S.,100.0,Auto-Accepted,,Denmark
CRAYON AS,Crayon,100.0,Auto-Accepted,crayonweb.azurewebsites.net,Norway
CRAYON PTE. LTD.,CRAYON WHITE,81.81818181818183,Manual-Review,crayonwhite.com,Singapore
"CROWDSTRIKE SERVICES, INC.",CrowdStrike Inc s.r.o.,77.77777777777779,Manual-Review,crowdstrikeinc.sk,United States
Searcher ApS,Searcher,100.0,Auto-Accepted,searcher.dk,Denmark
"CUSHMAN & WAKEFIELD SERVICES (THAILAND) CO., LTD.",Cushman & Wakefield Services Thailand Co. Ltd.,100.0,Auto-Accepted,,Thailand
DADES Center Ost ApS,Dades,40.0,Reject,dades.dk,Denmark
BONNIER BUSINESS PRESS A/S,Vi I Villa,57.77777777777777,Manual-Review,viivilla.no,Denmark
DAILY JURRAT,Daily Dunya,69.56521739130434,Manual-Review,dunya.com.pk,Pakistan
Dansk Kredit Rad,Dansk Kredit Råd,93.75,Auto-Accepted,dk-r.dk,Denmark
DANSK SUNDHEDSSIKRING KOMPLEMENTARSELSKAB ApS,Dansk Sundhedssikring,63.63636363636363,Manual-Review,ds-sundhed.dk,Denmark
DANSKE BANK A/S,Danske Bank,100.0,Auto-Accepted,danskebank.com,Denmark
Dantec Nordics ApS,Dantec Nordics,100.0,Auto-Accepted,dantec-nordics.dk,Denmark
DEAS A/S,DEAS Group,100.0,Auto-Accepted,deas.dk,Denmark
DEKO-STYLE V/ANJA GRONNE,Deko Style,56.25,Manual-Review,dekostyle.dk,Denmark
DELFI TECHNOLOGIES A/S,Delfi Technologies,100.0,Auto-Accepted,delfi.com,Denmark
DELL AS,Dell,100.0,Auto-Accepted,dell.no,Norway
Dell Corporation (Thailand) Co Ltd,Dellstore Thailand,69.76744186046511,Manual-Review,dellstorethailand.com,Thailand
DELL PRODUCTS,Promac Products,64.28571428571429,Manual-Review,,Ireland
DELOITTE ADVOKATFIRMA AS,Deloitte Norge,62.857142857142854,Manual-Review,deloitte.no,Norway
DELOITTE AS,Deloitte Norge,82.72727272727273,Manual-Review,deloitte.no,Norway
Deloitte Consulting (Sea) Sdn. Bhd.,Deloitte Consulting Malaysia Sdn Bhd.,89.55223880597015,Manual-Review,,Malaysia
DELOITTE STATSAUTORISERET REVISIONSPARTNERSELSKAB,Revisto Statsautoriseret Revisionspartnerselskab,88.65979381443299,Manual-Review,revisto.dk,Denmark
"DELTA EJENDOM, AALBORG A/S",Delta Data,58.06451612903226,Manual-Review,deltadata.dk,Denmark
ELTEK AS,Eltek,100.0,Auto-Accepted,eltek.com,Norway
DELTA ELECTRONICS INT'L (SINGAPORE) PTE. LTD.,Delta Electronics,78.26086956521739,Manual-Review,delta-singapore.com,Singapore
DHL EXPRESS (SINGAPORE) PTE. LTD.,DHL Express Singapore,91.30434782608695,Auto-Accepted,dhlexpress.com.sg,Singapore
DIAL ZERO (PRIVATE) LIMITED,DIAL ZERO,100.0,Auto-Accepted,dialzero.pk,Pakistan
Nets Denmark A/S,CashbackAPP,72.72727272727273,Manual-Review,bonuskroner.dk,Denmark
DIGI TELECOMMUNICATIONS SDN BHD,DiGi Telecommunications,100.0,Auto-Accepted,celcomdigi.com,Malaysia
Digi Telecommunications Sdn. Bhd.,DiGi Telecommunications,100.0,Auto-Accepted,celcomdigi.com,Malaysia
DK HOSTMASTER A/S,The Hostmaster,40.74074074074074,Reject,thehostmaster.gr,Greece
DNA OYJ,DNA Oy.,92.3076923076923,Auto-Accepted,,Finland
DNB Bank Karl Johan,DNB BANK,59.25925925925925,Manual-Review,dnbconnect.org,Norway
"DET NORSKE VERITAS, BUSINESS ASSURANCE, DANMARK A/S",Dansk System Assurance,44.776119402985074,Reject,dsawebsite.herokuapp.com,Denmark
Dtac Trinet Co Ltd,Dtac-trinet,95.23809523809523,Auto-Accepted,,Thailand
DUBEX A/S,Dubex,100.0,Auto-Accepted,dubex.dk,Denmark
DXC TECHNOLOGY NORGE AS,DXC Technology Norge AS,100.0,Auto-Accepted,,Norway
DXC Technology Sverige AB,DXC Technology Sverige AB.,100.0,Auto-Accepted,,Sweden
Dynamic-Telecommunication Sdn. Bhd.,Dynamic-Telecommunication Sdn Bhd.,100.0,Auto-Accepted,dynagroup.my,Malaysia
EASTCOMPEACE (SINGAPORE) PTE. LTD.,Eastcompeace Singapore Pte Ltd.,100.0,Auto-Accepted,,Singapore
EASTCOMPEACE SMART CARD (BANGLADESH) LIMITED,Eastcompeace Smart Card Bangladesh Limited.,100.0,Auto-Accepted,,Bangladesh
"Eastcompeace Technology Co.,Ltd",Eastcompeace,88.46153846153845,Manual-Review,eastcompeace.com,China
Ecapacity A/S,e Capacity,100.0,Auto-Accepted,ecapacity.dk,Denmark
ECI Media Management AB,ECI Media Management,100.0,Auto-Accepted,ecimediamanagement.com,Sweden
ECI MEDIA MANAGEMENT AB,ECI Media Management,100.0,Auto-Accepted,ecimediamanagement.com,Sweden
Edotco Group Sdn. Bhd.,EDOTCO Group,100.0,Auto-Accepted,,Malaysia
EDOTCO TOWERS PAKISTAN (PRIVATE) LIMITED,Aquamatch,55.00000000000001,Manual-Review,aquamatch.pk,Pakistan
Egencia Denmark A/S,Egencia,100.0,Auto-Accepted,egencia.dk,Denmark
EGENCIA LLC,Egencia New Zealand,60.0,Manual-Review,egencia.co.nz,United States
EGENCIA NORWAY AS,Egencia,66.66666666666666,Manual-Review,egencia.no,Norway
Egencia Sweden AB,Egencia Switzerland,33.33333333333333,Reject,egencia.ch,United Kingdom
Egeneration Limited,eGeneration,100.0,Auto-Accepted,egeneration.co,Bangladesh
ELGIGANTEN GROSSIST A/S,Elgiganten,68.96551724137932,Manual-Review,elgiganten.dk,Denmark
ELTEL NETWORKS CONNECT A/S,Eltel Networks,77.77777777777779,Manual-Review,eltelgroup.com,Denmark
Energy Cool ApS,Energy Cool,84.61538461538461,Manual-Review,energy-cool.com,Denmark
ENETEK POWER SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,Spółka OLOGROUP Spółka z ograniczoną odpowiedzialnością,71.02803738317756,Manual-Review,ologroup.pl,Poland
ENERGI HOBRO TELE A/S,Energimidt,58.82352941176471,Manual-Review,energimidt.dk,Denmark
Enreach Campaigns A/S,Campaigns,69.23076923076923,Manual-Review,campaigns.dk,Denmark
Ericsson (Malaysia) Sdn. Bhd.,Ericsson Telecommunications Sdn. Bhd.,66.66666666666666,Manual-Review,,Malaysia
Ericsson (Thailand) Limited,Ericsson Thailand Ltd.,100.0,Auto-Accepted,,Thailand
ERICSSON AB,Ericsson Väst Seniorförening,100.0,Auto-Accepted,ericssonvastsen.se,Sweden
ERICSSON AS,Ericsson AS,100.0,Auto-Accepted,epignosis.no,Norway
ERICSSON DANMARK A/S,Ericsson,66.66666666666666,Manual-Review,,Denmark
ERNST & YOUNG LLP,Ernst Engineering Pte. Ltd.,54.054054054054056,Manual-Review,,Singapore
EY Godkendt Revisionspartnerselskab,Ey Grønland Godkendt Revisionsanpartsselskab,81.0126582278481,Manual-Review,,Denmark
ERP DENMARK ApS,ERP Systems,66.66666666666666,Manual-Review,erps.dk,Denmark
Estel Technologies Private Limited,Estel Technologies,100.0,Auto-Accepted,esteltelecom.com,India
EUTELSAT S.A.,Eutelsat Asia,100.0,Auto-Accepted,,France
Ework Group AB (Publ),Ework Group,84.84848484848484,Manual-Review,eworkgroup.com,Sweden
EWORK NORDIC ApS,BioSite,58.82352941176471,Manual-Review,biosite.dk,Denmark
EWORK GROUP NORWAY AS,Universal Music,47.61904761904761,Reject,universalmusic.no,Norway
EXFO Ltd.,EXFO,60.0,Manual-Review,exfo.com,Canada
EXIDE TECHNOLOGIES AS,Exide Technologies avd Bergen,76.59574468085107,Manual-Review,sonnak.com,Norway
EXPRESS PUBLICATIONS (PVT.) LIMITED,Al Huda Publications,65.0,Manual-Review,alhudapublications.org,Pakistan
Extenda Retail AS Avd Oslo,EXTENDA RETAIL,73.68421052631578,Manual-Review,44749.org,Norway
F5 NETWORKS LIMITED,F5 Networks Inc.,100.0,Auto-Accepted,couponannie.co.uk,United Kingdom
FACEBOOK IRELAND LIMITED,Facebook Training Ireland,78.04878048780488,Manual-Review,facebooktraining.ie,Ireland
Falck Danmark A/S,Falck Danmark,100.0,Auto-Accepted,falck.dk,Denmark
Fastbridge Malaysia Sdn Bhd,Mall of Malaysia,70.58823529411765,Manual-Review,mallofmalaysia.com.my,Malaysia
Favro Holding AB,Favro,66.66666666666666,Manual-Review,favro.com,Sweden
Fiberail Sdn. Bhd.,Fiberail,100.0,Auto-Accepted,fiberail.com.my,Malaysia
Fibrecomm Network (M) Sdn. Bhd.,FIBRECOMM,62.06896551724138,Manual-Review,fibrecomm.net.my,Malaysia
DANSK HALON TEKNIK ApS,Dansk Iso Teknik,85.71428571428571,Manual-Review,isoteknik.dk,Denmark
FORM DANMARK ApS,Form Danmark,100.0,Auto-Accepted,formdanmark.dk,Denmark
SYKES ENTERPRISES NORWAY AS,Sykes Enterprises Inc.,41.46341463414634,Reject,,United States
GARTNER ADVISORY (SINGAPORE) PTE LTD,Gartner Advisory S Pte Ltd.,84.61538461538461,Manual-Review,,Singapore
GARTNER NORGE AS,Gartner Norge,100.0,Auto-Accepted,,Norway
GBT TRAVEL SERVICES UK LIMITED,GBT CAD Services,73.68421052631578,Manual-Review,,United Kingdom
Genex Infosys Limited,Genex Infosys,100.0,Auto-Accepted,genexinfosys.com,Bangladesh
GEO ENTERTAINMENT TELEVISION (PVT.) LIMITED,Geo Mobile & Easypaisa Shop,40.74074074074074,Reject,,Pakistan
GINTEL AS,Gintel Norway,73.15789473684211,Manual-Review,gintel.com,Norway
GLOBALCONNECT A/S,GlobalConnect,100.0,Auto-Accepted,globalconnect.dk,Denmark
Glory Fashions Ltd.,Glory Fashions,100.0,Auto-Accepted,gloryfashions.com,Bangladesh
Goecker Service A/S,Goecker since 1862,72.72727272727273,Manual-Review,goecker.dk,Denmark
GOGIFT.COM A/S,GoGift,80.0,Manual-Review,gogift.com,Denmark
Google Asia Pacific Pte. Ltd.,Google Asia Pacific Pte. Ltd.,100.0,Auto-Accepted,duoi625maxim.com,Singapore
Google Cloud EMEA Limited,Bon Plan Sur Mesure,50.0,Manual-Review,bonplansurmesure.com,France
GOOGLE COMMERCE LIMITED,Google Commerce Limited,100.0,Auto-Accepted,lespotnoir.com,Ireland
GOOGLE IRELAND LIMITED,Anbieter Google Ireland,75.67567567567568,Manual-Review,diessen-mitte.com,Ireland
GRAMEENPHONE LTD,Grameenphone Centre,77.41935483870968,Manual-Review,,Bangladesh
Grassfish Denmark ApS,playscapes Denmark,69.76744186046511,Manual-Review,playscapes.dk,Denmark
Green Packet Berhad,GREEN PACKET,77.41935483870968,Manual-Review,greenpacket.com,Malaysia
GreenMind A/S,GreenMind Aalborg,100.0,Auto-Accepted,greenmind.dk,Denmark
grey advertising ( bangladesh) ltd.,Backpage PR,98.18181818181819,Auto-Accepted,backpagepr.com,Bangladesh
GSM ASSOCIATION,GSMA Training,100.0,Auto-Accepted,gsmatraining.com,United Kingdom
"HARBIN COSLIGHT NEW ENERGY CO., LTD.",Harbin Xinju New Energy Co. Ltd.,77.55102040816327,Manual-Review,,China
HE SIKRING A/S,AL-SIKRING,73.68421052631578,Manual-Review,al-sikring.dk,Denmark
HELP Forsakring filial,HELP Försäkring,70.27027027027027,Manual-Review,helpforsakring.se,Sweden
HELP FORSIKRING AS,HELP Forsikring,100.0,Auto-Accepted,help.no,Norway
"HELP FORSIKRING,FILIAL AF HELP FORSIKRING AS, NORGE",HELP Forsikring,48.38709677419355,Reject,helpforsikring.dk,Denmark
HERM. RASMUSSEN A/S,Herm,100.0,Auto-Accepted,herm.dk,Denmark
HEST AGENTUR AS,HEST Agentur,100.0,Auto-Accepted,hestagentur.no,Norway
HETEK A/S,HETEK,100.0,Auto-Accepted,hetek.dk,Denmark
Hewlett-Packard (M) Sdn Bhd,Hewlett-Packard M Sdn. Bhd.,100.0,Auto-Accepted,,Malaysia
Hewlett-Packard (Thailand) Ltd.,Hewlett-Packard Thailand Company Limited,85.18518518518519,Manual-Review,,Thailand
HEWLETT-PACKARD ApS,Hewlett-Packard ApS.,100.0,Auto-Accepted,,Denmark
HEWLETT-PACKARD NORGE AS,Linestore,34.48275862068966,Reject,linestore.no,Norway
"Hewlett Packard Singapore (Sales) Pte., Ltd.",Hewlett Packard Depot Rd,64.40677966101694,Manual-Review,,Singapore
HEWLETT-PACKARD SVERIGE AB,Hewlett-Packard Sverige AB.,100.0,Auto-Accepted,,Sweden
"HIGH TOUCH, INC.",High Touch Medicine,78.96551724137932,Manual-Review,hightouchmedicine.com,United States
HOLDSPORT.DK ApS,Holdsport,75.0,Manual-Review,holdsport.dk,Denmark
HOPPECKE BATTERIEN GMBH & CO. KG,Hoppecke,85.71428571428571,Manual-Review,hoppecke-history.de,Germany
HP INC (THAILAND) COMPANY LIMITED,HP Inc Thailand Ltd.,75.0,Manual-Review,,Thailand
HP INC DANMARK ApS,HP Inc Denmark ApS.,93.33333333333333,Auto-Accepted,,Denmark
HP NORGE AS,HP Norge,100.0,Auto-Accepted,hp-norge.no,Norway
Hp Pps Sales Sdn. Bhd.,HP PPS Sales Sdn Bhd.,100.0,Auto-Accepted,hp-aipcvideocontest.com,Malaysia
HP PPS SINGAPORE (SALES) PTE. LTD.,GG Playfest,100.0,Auto-Accepted,ggplayfest.com,Singapore
HUAWEI INTERNATIONAL PTE. LTD.,Huawei Enterprise,100.0,Auto-Accepted,,Singapore
Huawei Technologies (Bangladesh) Limited.,Shahidul Islam Sarker,100.0,Auto-Accepted,shahidulsarker.com,Bangladesh
HUAWEI TECHNOLOGIES (DENMARK) ApS,Xplora Technologies Denmark,75.86206896551724,Manual-Review,xplora.dk,Denmark
Huawei Technologies (Malaysia) Sdn. Bhd.,Huawei Technologies Malaysia Sdn Bhd TRX,94.73684210526315,Auto-Accepted,,Malaysia
"HUAWEI TECHNOLOGIES (THAILAND) CO., LTD.",Huawei Technologies Thailand Co Ltd.,100.0,Auto-Accepted,transformex.org,Thailand
HUAWEI TECHNOLOGIES NORWAY AS,Huawei Technologies Norway AS,100.0,Auto-Accepted,,Norway
HUAWEI TECHNOLOGIES PAKISTAN (PRIVATE) LIMITED,Huawei Technologies Pakistan,100.0,Auto-Accepted,,Pakistan
Huawei Technologies Sweden AB,Future of Wireless,100.0,Auto-Accepted,futureofwireless.eu,Sweden
HUBER+SUHNER A/S,Huber Suhner A/S.,95.65217391304348,Auto-Accepted,,Denmark
Huber+Suhner AG,Huber Suhner AG,96.55172413793103,Auto-Accepted,exhubersuhner.ch,Switzerland
HUBER+SUHNER ELECTRONICS PRIVATE LIMITED,HUBER SUHNER Sales Partners,34.0,Reject,hubersuhner.com,Switzerland
Hum Network Limited,Hum Network,100.0,Auto-Accepted,humnetwork.tv,Pakistan
Human Edge Management AG,Human Edge Investment Technology,67.85714285714286,Manual-Review,human-edge.ch,Switzerland
Hydro Energi AS,Hydro Rein,72.72727272727273,Manual-Review,hydrorein.com,Norway
IBM DANMARK A/S,Mercedes-Benz,58.06451612903226,Manual-Review,mercedes-benz.dk,Denmark
Idemia France SAS,IDEMIA France SAS.,100.0,Auto-Accepted,bioscrypt.com,France
OBERTHUR TECHNOLOGIES NORWAY AS,Oberthur Technologies,42.857142857142854,Reject,oberthur.com,France
"IKANO BANK, FILIAL AF IKANO BANK AB (PUBL), SVERIGE",Ikano Bank Leasing,43.07692307692308,Reject,vinnuleasing.fo,Denmark
Imi Mobile Vas Limited,IMI Mobile VAS Ltd FZE,42.42424242424242,Reject,,United Kingdom
IMIMOBILE EUROPE LIMITED,IMImobile,72.0,Manual-Review,imimobile.com,United Kingdom
INDEPENDENT MEDIA CORPORATION (PRIVATE) LIMITED.,Independent Pak Media,68.0,Manual-Review,,Pakistan
INFINERA CORPORATION,INFINERA,100.0,Auto-Accepted,infinera.com,United States
INFOMEDIA A/S,INFOMEDIAAN,100.0,Auto-Accepted,infomedia.fi,Denmark
INFOSYS LIMITED,Infosys Limited,100.0,Auto-Accepted,,India
Ingram Micro Mobility Sweden AB,INGRAM MICRO NORDIC LOGISTICS AB.,69.84126984126983,Manual-Review,,Sweden
inlumi ApS,InLumi DOT,70.0,Manual-Review,inlumidot.dk,Denmark
INSIDER SECURITY PTE. LTD.,InsiderSecurity,100.0,Auto-Accepted,insidersecurity.co,Singapore
